,country,id,name,lon,lat,temp,humidity,cloudiness,windspeed
261,ID,7780520,Penikebon,106.088,-6.342,82.40,88,75,9.17
262,ID,8080017,Tugurejo Satu,112.380,-8.289,82.36,90,80,7.52
263,DE,2851074,Radeburg,13.728,51.215,41.00,86,90,9.17
264,AU,2075308,Burra,138.933,-33.667,64.00,69,0,6.51
265,US,4159050,Homestead,-80.478,25.469,69.84,68,20,11.41
266,ES,3120221,Izurtza,-2.633,43.150,58.96,59,75,5.82
267,US,4474383,Kings Grant,-77.861,34.264,42.28,93,1,3.36
268,BR,6322065,SÃ£o GonÃ§alo,-43.041,-22.816,76.98,78,40,3.36
269,ES,2517298,Gata de Gorgos,0.085,38.774,64.90,71,0,2.48
270,FR,2971493,Tuffe,0.516,48.113,53.60,87,90,12.75
271,CA,6156822,Stirling,-77.549,44.300,37.11,100,90,2.24
272,BG,731100,Gyovren,24.230,41.400,51.80,81,75,9.17
273,US,5362909,Kerman,-120.060,36.724,48.87,71,0,3.36
274,TZ,157198,Kiomboi,34.367,-4.267,78.63,79,36,4.61
275,MA,2569452,Oulad Kerroum,-6.952,33.854,64.40,68,0,4.70
276,AR,3430457,Navarro,-59.277,-35.006,63.64,89,0,7.96
277,FR,6433456,Villard-de-Lans,5.550,45.067,52.65,81,75,3.36
278,ES,3110718,Sant Cugat del Valles,2.083,41.467,63.41,55,0,3.38
279,ES,6359432,Benamocarra,-4.164,36.790,62.35,56,0,3.36
280,DE,2860134,Oberjettingen,8.776,48.575,51.80,62,75,19.46
281,CN,1789127,Xindian,120.916,32.269,61.21,67,0,12.21
282,US,5242994,Williamstown,-72.541,44.122,35.62,69,90,8.05
283,RO,682038,Chirnogeni,28.233,43.900,48.20,66,20,8.05
284,JP,1848976,Wajima,136.900,37.400,55.40,54,0,2.24
285,DE,2941496,Burg auf Fehmarn,11.200,54.433,37.40,96,90,10.29
286,TW,1672222,Huiyaozi,121.128,22.769,71.60,83,75,3.36
287,US,5489545,San Felipe Pueblo,-106.447,35.434,33.37,100,90,9.17
288,RU,577240,Bereznik,42.707,62.855,22.38,79,32,6.17
289,US,5214576,Sturgeon,-80.211,40.385,50.88,100,90,5.82
290,SI,3203808,Bohinjska Bistrica,13.954,46.272,52.16,50,40,5.82
291,US,5227180,Dakota Dunes,-96.486,42.487,33.35,79,1,9.17
292,JP,1852607,Shibata,139.333,37.950,64.40,34,0,8.05
293,DE,2877039,Linnenbach,8.755,49.657,49.32,57,75,9.17
294,FR,6447229,Boulon,-0.400,49.050,51.17,87,88,23.04
295,FR,6434398,RosiÃ¨res,3.983,45.133,57.20,62,75,9.17
296,UG,448217,Kanungu District,29.730,-0.750,71.20,86,92,4.16
297,DE,2862027,Norderstapel,9.250,54.350,38.28,69,75,13.87
298,IT,6534857,San Martino Alfieri,8.110,44.818,51.35,58,40,4.70
299,AR,3429308,Partido de San AndrÃ©s de Giles,-59.500,-34.500,63.64,89,0,7.96
300,TR,312143,Hilal,42.786,37.475,74.13,46,92,3.38
301,KZ,609835,Imeni Gazety Pravda,52.083,50.867,35.60,93,90,13.42
302,CH,7670132,Cutterwil,7.086,46.841,49.57,71,75,11.41
303,BO,3920422,Choreti,-63.533,-20.017,60.80,93,75,3.60
304,US,4781129,Ravensworth,-77.221,38.804,41.56,93,90,3.15
305,CA,5947456,Eldon,-116.035,51.317,16.71,67,12,4.83
306,PT,8012796,Seroa,-8.437,41.261,52.84,93,75,12.75
307,RO,672847,Moroeni,25.433,45.217,47.89,82,48,3.71
308,BR,3401548,Crateus,-40.678,-5.178,73.14,100,64,7.63
309,GB,2657782,Aberystwyth,-4.083,52.415,40.69,100,88,10.76
310,RO,674685,Livada,21.384,46.223,50.97,100,0,5.82
311,RU,536148,Leninskiy,43.153,44.191,53.60,66,75,11.18
312,US,4493186,Stallings,-80.686,35.091,45.59,87,90,4.70
313,AR,3433787,General Pacheco,-58.643,-34.449,63.86,87,0,2.24
314,IT,6534610,Ripalta Guerina,9.704,45.306,54.32,66,40,2.24
315,US,4176109,Union Park,-81.286,28.568,58.69,82,1,3.36
316,RU,512008,Pavlovskoye,40.467,56.317,23.28,91,12,7.74
317,PH,1692360,Puro Pinget,120.357,17.681,84.20,62,40,2.24
318,PH,1713286,Gamut,126.170,9.004,73.86,93,20,4.94
319,AT,2779225,Friesenegg,14.246,48.302,37.40,93,75,6.93
320,CO,3671549,Puerto Asis,-76.501,0.513,71.47,99,92,0.25
321,ES,6359160,Viniegra de Abajo,-2.881,42.126,53.80,43,0,19.46
322,FR,2981718,Saint-Andre-le-Puy,4.257,45.645,56.57,62,75,9.17
323,RU,565611,Dolgorukovo,38.345,52.319,25.26,94,20,8.75
324,DE,2862131,Norddorf,8.333,54.680,39.20,86,75,21.92
325,PL,3086379,Saczow,19.030,50.435,40.23,64,75,6.93
326,CH,7285819,Fiesch,8.118,46.413,50.00,76,75,9.17
327,DE,6548493,KÃ¶nigswalde,13.050,50.550,42.42,100,90,3.36
328,CN,1910279,Majia,108.458,34.858,80.60,30,0,8.95
329,FR,3018675,Ferolles-Attilly,2.631,48.732,52.83,93,90,17.22
330,CZ,3075996,Halenkovice,17.472,49.171,47.01,81,40,8.05
331,DE,2855093,Peenedamm,13.686,53.861,37.40,59,0,12.75
332,GB,2641747,Nevern,-4.801,52.024,44.60,81,64,11.41
333,CR,3621520,Santiago,-84.444,10.023,69.80,60,0,19.46
334,ID,1625659,Taccipi,120.184,-4.507,75.84,80,24,5.61
335,IT,6542037,Paderno Dugnano,9.163,45.573,54.16,66,40,2.24
336,US,4361885,Maryland,-76.750,39.000,41.83,93,75,3.60
337,DE,2931385,Eitelborn,7.717,50.367,44.67,100,90,9.17
338,DE,6552782,Apensen,9.614,53.432,37.40,86,90,10.29
339,US,5675156,Ryegate,-109.259,46.297,30.34,70,8,8.41
340,DE,6556703,Guteneck,12.283,49.450,44.60,100,90,9.17
341,IT,6534431,Ranzo,8.015,44.060,55.80,76,75,9.17
342,RO,683132,Buturugeni,25.835,44.365,47.28,66,20,3.36
343,IT,3177969,Corte Rusta,11.000,45.133,55.40,58,8,3.36
344,US,4694420,Graham,-98.590,33.107,51.22,100,92,8.05
345,FR,3029350,Buxy,4.704,46.714,52.97,76,90,9.17
346,LU,2960117,Sandweiler,6.219,49.613,44.60,81,75,12.75
347,GB,2657473,Allington,0.517,51.283,39.92,86,75,5.82
348,CA,5947462,Eldorado,-108.502,59.550,-3.55,75,48,10.54
349,FR,6613990,Pezuls,0.817,44.917,52.65,93,90,12.75
350,DE,2949786,BeÃŸlich,6.600,49.800,43.25,81,75,12.75
351,US,4180134,Arcade,-83.562,34.078,48.24,87,90,4.70
352,PL,3083762,Szczutowo,19.574,52.940,37.27,90,64,9.98
353,AR,3860197,Coronel Du Graty,-60.915,-27.680,65.53,86,44,3.27
354,DE,2948301,Bischofrod,10.650,50.550,46.40,93,75,10.29
355,US,5380748,Palo Alto,-122.143,37.442,50.16,81,1,4.27
356,PT,8011629,Nunes,-6.995,41.799,50.19,80,92,6.62
357,DE,6547839,Kruckow,13.233,53.900,37.40,59,0,12.75
358,RO,663849,Valea Caselor,25.167,45.350,35.43,86,76,2.82
359,MX,3532506,Ayutla,-98.500,18.550,55.81,80,0,2.48
360,IN,1348562,Srirampur,88.019,22.949,96.80,41,20,12.75
361,US,5803357,Midland,-122.405,47.167,43.54,100,90,8.05
362,AU,2177466,Avenue,140.233,-36.967,54.24,92,24,5.73
363,DE,2933808,Echem,10.533,53.333,36.95,99,75,13.87
364,ES,2519198,Cortes de la Frontera,-5.343,36.617,64.33,68,0,3.36
365,UY,3442727,Durazno,-56.501,-33.413,55.40,93,0,6.93
366,ID,7035710,Gondel,111.495,-7.229,73.45,97,76,4.72
367,IN,1269125,Jawaharnagar,77.200,28.683,102.20,10,0,13.87
368,PH,1680735,Tumcon Ilawod,122.667,10.917,76.24,80,20,5.73
369,LU,2960545,Geyershaff,6.388,49.759,43.23,81,75,12.75
370,ES,3114990,Ordes,-7.983,42.950,51.85,93,90,11.41
371,US,4912845,Summit,-87.810,41.788,39.72,86,90,2.37
372,IE,2965761,Carndonagh,-7.267,55.250,41.00,86,40,16.11
373,PY,3437677,Departamento de Ã‘eembucÃº,-58.000,-27.000,70.84,78,56,3.27
374,US,4504010,Seaside Heights,-74.073,39.944,37.06,100,90,3.36
375,US,4252603,Wayne City,-88.588,38.345,44.60,100,90,5.82
